unit -> angles in degrees			
"Azimuth, angle between the magnetic north direction and the y-axis, around the z-axis (0 to 359). 0=North, 90=East, 180=South, 270=West"	"Pitch, rotation around x-axis (-180 to 180), with positive values when the z-axis moves toward the y-axis"	"Roll, rotation around y-axis (-90 to 90), with positive values when the x-axis moves toward the z-axis"	
Timestamp	Azimuth	Pitch	Roll
2.1158996	48.501556	-83.0416	5.7144647
2.1210265	48.987305	-82.577484	4.8944316
2.126001	49.464752	-82.11171	4.2054567
2.1310363	49.937164	-81.61922	3.6065114
2.1360717	50.412018	-81.10366	3.095845
2.141168	50.90811	-80.554375	2.6591344
2.1461425	51.42383	-79.99337	2.301826
2.151178	51.966156	-79.40803	2.000188
2.1562135	52.53961	-78.815186	1.756245
2.16131	53.15039	-78.2144	1.5684518
2.1662843	53.773926	-77.63234	1.4462174
2.1713195	54.407288	-77.049225	1.3857106
2.1763551	55.030518	-76.47494	1.3905034
2.1814516	55.63794	-75.901405	1.461995
2.1864257	56.189972	-75.34978	1.5954207
2.1914918	56.692596	-74.794044	1.7887653
2.1964662	57.112732	-74.25479	2.0294054
2.201593	57.477905	-73.698944	2.3197322
2.2065673	57.75479	-73.15609	2.6375194
2.211603	57.977844	-72.593956	2.9809327
2.216638	58.154663	-72.01846	3.331755
2.2217345	58.292267	-71.42845	3.6799955
2.226709	58.374634	-70.85586	4.006414
2.2317445	58.41623	-70.29078	4.310386
2.2367797	58.402435	-69.750015	4.586665
2.2418761	58.33423	-69.23194	4.8358493
2.2468505	58.197723	-68.758835	5.056631
2.2518861	58.00525	-68.31236	5.264027
2.2569213	57.75229	-67.90186	5.46964
2.2620177	57.443024	-67.52252	5.693928
2.266992	57.08246	-67.188324	5.9459558
2.2720275	56.683807	-66.88314	6.2442436
2.277063	56.2489	-66.61152	6.5941234
2.2821593	55.778656	-66.37033	7.004238
2.287134	55.283813	-66.17045	7.459853
2.2921996	54.771698	-66.00576	7.971997
2.297174	54.257202	-65.88575	8.5176115
2.3023012	53.72995	-65.80969	9.113088
2.3072755	53.20294	-65.786095	9.72236
2.3123107	52.677856	-65.81451	10.364809
2.3173585	52.1481	-65.89434	11.027453
2.3224854	51.603638	-66.02414	11.727496
2.3274598	51.05063	-66.19373	12.430692
2.332495	50.49405	-66.406235	13.164748
2.3375306	49.92691	-66.65299	13.922841
2.342627	49.343628	-66.929375	14.713844
2.3476014	48.732574	-67.21951	15.511284
2.3526368	48.113007	-67.523544	16.342627
2.3576722	47.46396	-67.83208	17.1968
2.3627687	46.781525	-68.13996	18.079075
2.367743	46.062775	-68.428535	18.954674
2.3727784	45.33136	-68.70109	19.851551
2.3778136	44.575195	-68.9488	20.757044
2.3829103	43.783997	-69.17674	21.678377
2.3878844	42.94937	-69.38643	22.583113
2.3929505	42.077698	-69.609314	23.511425
2.397925	41.157013	-69.873474	24.432192
2.4030516	40.12558	-70.22964	25.388367
2.408026	39.057495	-70.68055	26.29994
2.4130616	38.05356	-71.24752	27.160791
2.418097	37.197052	-71.87447	27.919226
2.4231932	36.544556	-72.45295	28.572876
2.4281678	36.004333	-72.86425	29.142588
2.4332032	35.450287	-73.02683	29.759375
2.4382386	34.62857	-72.931564	30.55361
2.443335	33.46643	-72.66548	31.57401
2.4483094	32.091797	-72.31425	32.709023
2.4533446	30.585785	-71.89842	33.891537
2.4583802	28.957611	-71.43461	35.01373
2.4634767	27.194824	-70.92249	36.032887
2.468451	25.38205	-70.39944	36.889156
2.4734862	23.59491	-69.86258	37.592503
2.4785218	21.883636	-69.32384	38.123455
2.4836183	20.236572	-68.784744	38.49703
2.4885926	18.689667	-68.26989	38.729153
2.4936585	17.202026	-67.74914	38.863106
2.498633	15.798065	-67.23187	38.918705
2.5037599	14.394012	-66.68575	38.923782
2.5087342	13.072449	-66.14834	38.897484
2.5137696	11.782593	-65.59534	38.862812
2.518805	10.527649	-65.03288	38.831455
2.5239015	9.293762	-64.45602	38.809036
2.5288756	8.136963	-63.884346	38.79629
2.5339112	7.016205	-63.293392	38.794033
2.5389464	5.9384155	-62.691933	38.79696
2.5440428	4.8921814	-62.07887	38.794907
2.5490172	3.9212952	-61.489876	38.776558
2.5540528	2.9804688	-60.91971	38.73556
2.559088	2.0848694	-60.3893	38.666107
2.5641844	1.2229004	-59.900486	38.5687
2.5691588	0.44674683	-59.474617	38.45171
2.5741944	359.72147	-59.09551	38.3222
2.5792298	359.05838	-58.76548	38.19038
2.5843263	358.42752	-58.477615	38.065853
2.5893006	357.84897	-58.23744	37.955376
2.5943663	357.25613	-58.026478	37.861504
2.5993407	356.68506	-57.849854	37.78659
2.6044679	356.10675	-57.69655	37.731632
2.6094422	355.59863	-57.58315	37.693443
2.6144774	355.13327	-57.511223	37.668602
2.619513	354.73688	-57.48879	37.650124
2.6246095	354.40543	-57.513313	37.627357
2.6295838	354.15262	-57.577873	37.591366
2.634619	353.93573	-57.672306	37.53399
2.6396546	353.75027	-57.78303	37.45017
2.644751	353.59296	-57.906506	37.325054
2.6497254	353.47568	-58.03627	37.164257
2.6547608	353.36902	-58.178574	36.979755
2.6597962	353.29105	-58.34152	36.776314
2.6648927	353.25757	-58.538067	36.556812
2.669867	353.2972	-58.77437	36.336185
2.6749024	353.41733	-59.07102	36.1139
2.6799376	353.64316	-59.43434	35.897976
2.6850343	354.00305	-59.882866	35.68865
2.6900084	354.51297	-60.408775	35.490734
2.6950746	355.19357	-61.04339	35.294224
2.700049	356.0504	-61.768143	35.100826
2.7051756	357.13	-62.61481	34.896797
2.71015	358.38965	-63.526417	34.682922
2.7151856	359.8524	-64.53139	34.44994
2.7202208	1.4977417	-65.60515	34.201714
2.7253172	3.3244019	-66.75154	33.940826
2.7302918	5.256592	-67.92577	33.680363
2.7353272	7.3368835	-69.1679	33.41637
2.7403626	9.537109	-70.45905	33.14767
2.745459	11.867096	-71.80579	32.862587
2.750464	14.235779	-73.15166	32.557148
2.7554383	16.639435	-74.49244	32.21903
2.7605042	19.100525	-75.835884	31.826977
2.7656007	21.552002	-77.145454	31.375889
2.770575	23.88504	-78.37542	30.872553
2.7756102	26.164886	-79.57872	30.294428
2.7806458	28.372314	-80.72542	29.623611
2.7857423	30.53656	-81.82226	28.820799
2.7907166	32.56546	-82.840004	27.873772
2.7957826	34.549286	-83.83881	26.7142
2.800757	36.31906	-84.75893	25.44023
